radius,density,mass,gravity
3520.909,5.54596,1.974548794076469e+24,10.630752144322617
3534.545,5.539140000000001,1.9863682355644488e+24,10.612029653508435
3548.182,5.5323199999999995,1.9982654463036e+24,10.593686717604161
3561.818,5.525510000000001,2.0102388193145187e+24,10.575719665759948
3575.455,5.5187,2.0222902475666106e+24,10.558119622857294
3589.091,5.51189,2.0344180883617526e+24,10.540882992803873
3602.727,5.5050799999999995,2.0466233455025941e+24,10.524002408483133
3616.364,5.498279999999999,2.0589070564656035e+24,10.507470783966204
3630.0,5.491479999999999,2.071267551996544e+24,10.491284765225913
3642.792,5.4851,2.0829337181280597e+24,10.476408534379832
3655.584,5.47872,2.0946684490802924e+24,10.461825677892328
3668.377,5.4723500000000005,2.106472778471345e+24,10.447530584135526
3681.169,5.465979999999999,2.1183449677712952e+24,10.433521058312722
3693.961,5.45961,2.130286031662625e+24,10.419791563456098
3706.753,5.45324,2.1422960643259752e+24,10.406337769809577
3719.545,5.44687,2.1543751589366402e+24,10.393155421941808
3732.338,5.4405,2.166524360602615e+24,10.380239340606552
3745.13,5.43414,2.178741872382897e+24,10.367587486888864
3757.922,5.427770000000001,2.1910287310078617e+24,10.355194796277475
3770.714,5.42141,2.2033850257861744e+24,10.343057295391104
3783.506,5.41504,2.2158108450219438e+24,10.331171077904548
3796.299,5.40868,2.228307256129919e+24,10.31953140558748
3809.091,5.40232,2.2408724034057886e+24,10.308136375083405
3821.883,5.39595,2.2535073341168424e+24,10.29698129728397
3834.675,5.38959,2.2662121325491689e+24,10.28606252087751
3847.468,5.383229999999999,2.278987895822945e+24,10.275375684920505
3860.26,5.37686,2.2918326971412192e+24,10.264918874749823
3873.052,5.3705,2.304747613105277e+24,10.254687770189207
3885.844,5.36413,2.3177327239831863e+24,10.244678955221914
3898.636,5.35776,2.3307880968620855e+24,10.234889016312849
3911.429,5.3514,2.3439148515490501e+24,10.225313964615772
3924.221,5.3450299999999995,2.3571110131308425e+24,10.215952045378462
3937.013,5.33866,2.3703776681687692e+24,10.206799246919699
3949.805,5.3322899999999995,2.3837148917458812e+24,10.197852422604008
3962.597,5.3259099999999995,2.3971227453600348e+24,10.189108423032042
3975.39,5.31954,2.4106023589894472e+24,10.180563544815362
3988.182,5.31316,2.424151697205373e+24,10.17221612651354
4000.974,5.30678,2.437771868356691e+24,10.164062487026849
4013.766,5.3004,2.451462942169788e+24,10.156099724369055
4026.558,5.294020000000001,2.4652249873641257e+24,10.148324982577284
4039.351,5.28763,2.4790591433961863e+24,10.140734813897492
4052.143,5.2812399999999995,2.4929633008898764e+24,10.133327585080492
4064.935,5.274850000000001,2.5069386031668987e+24,10.126099970553232
